b_TQ,b_LQ,state,Tstar,Mprime
0.05586592,0.11173184,1,1.4382843187e+00,-4.7966836092e-01
0.08379888,0.11173184,1,1.3919895223e+00,-5.1924323677e-01
0.11173184,0.11173184,1,1.3522893611e+00,-5.5005475462e-01
0.13966480,0.11173184,1,1.3175490888e+00,-5.7462668152e-01
0.16759777,0.11173184,1,1.2866788483e+00,-5.9457526184e-01
0.19553073,0.11173184,1,1.2589143996e+00,-6.1099186114e-01
0.22346369,0.11173184,1,1.2336985134e+00,-6.2464423494e-01
0.25139665,0.11173184,1,1.2106120661e+00,-6.3609042618e-01
0.27932961,0.11173184,1,1.1893317039e+00,-6.4574702691e-01
0.30726257,0.11173184,1,1.1696026279e+00,-6.5393203073e-01
0.33519553,0.11173184,1,1.1512204348e+00,-6.6089278423e-01
0.36312849,0.11173184,1,1.1340186134e+00,-6.6682481553e-01
0.39106145,0.11173184,1,1.1178597025e+00,-6.7188487092e-01
0.41899441,0.11173184,1,1.1026288920e+00,-6.7620015791e-01
0.44692737,0.11173184,1,1.0882292974e+00,-6.7987503597e-01
0.47486034,0.11173184,1,1.0745784079e+00,-6.8299594890e-01
0.50279330,0.11173184,1,1.0616053749e+00,-6.8563512028e-01
0.53072626,0.11173184,1,1.0492489110e+00,-6.8785336268e-01
0.55865922,0.11173184,1,1.0374556434e+00,-6.8970224115e-01
0.58659218,0.11173184,1,1.0261788070e+00,-6.9122575912e-01
0.61452514,0.11173184,1,1.0153771972e+00,-6.9246168633e-01
0.64245810,0.11173184,1,1.0050143219e+00,-6.9344261512e-01
0.67039106,0.11173184,1,9.9505771010e-01,-6.9419680808e-01
0.69832402,0.11173184,1,9.8547834228e-01,-6.9474888402e-01
0.72625698,0.11173184,1,9.7625017849e-01,-6.9512037735e-01
0.75418994,0.11173184,1,9.6734976444e-01,-6.9533019728e-01
0.78212291,0.11173184,1,9.5875590062e-01,-6.9539500754e-01
0.81005587,0.11173184,1,9.5044936268e-01,-6.9532954202e-01
0.83798883,0.11173184,1,9.4241266392e-01,-6.9514686882e-01
0.86592179,0.11173184,1,9.3462985232e-01,-6.9485861229e-01
0.89385475,0.11173184,1,9.2708633650e-01,-6.9447514055e-01
0.92178771,0.11173184,1,9.1976873556e-01,-6.9400572480e-01
0.94972067,0.11173184,1,9.1266474911e-01,-6.9345867513e-01
0.97765363,0.11173184,1,9.0576304428e-01,-6.9284145678e-01
1.00558659,0.11173184,1,8.9905315710e-01,-6.9216079014e-01
1.03351955,0.11173184,1,8.9252540617e-01,-6.9142273699e-01
1.06145251,0.11173184,1,8.8617081670e-01,-6.9063277517e-01
1.08938547,0.11173184,1,8.7998105362e-01,-6.8979586353e-01
1.11731844,0.11173184,1,8.7394836238e-01,-6.8891649841e-01
1.14525140,0.11173184,1,8.6806551644e-01,-6.8799876312e-01
1.17318436,0.11173184,1,8.6232577056e-01,-6.8704637126e-01
1.20111732,0.11173184,1,8.5672281913e-01,-6.8606270483e-01
1.22905028,0.11173184,1,8.5125075894e-01,-6.8505084781e-01
1.25698324,0.11173184,1,8.4590405576e-01,-6.8401361579e-01
1.28491620,0.11173184,1,8.4067751436e-01,-6.8295358231e-01
1.31284916,0.11173184,1,8.3556625145e-01,-6.8187310212e-01
1.34078212,0.11173184,1,8.3056567133e-01,-6.8077433200e-01
1.36871508,0.11173184,1,8.2567144383e-01,-6.7965924917e-01
1.39664804,0.11173184,1,8.2087948433e-01,-6.7852966790e-01
1.42458101,0.11173184,1,8.1618593561e-01,-6.7738725422e-01
1.45251397,0.11173184,1,8.1158715135e-01,-6.7623353926e-01
1.48044693,0.11173184,1,8.0707968113e-01,-6.7506993107e-01
1.50837989,0.11173184,1,8.0266025667e-01,-6.7389772543e-01
1.53631285,0.11173184,1,7.9832577933e-01,-6.7271811541e-01
1.56424581,0.11173184,1,7.9407330859e-01,-6.7153220018e-01
1.59217877,0.11173184,1,7.8990005158e-01,-6.7034099283e-01
1.62011173,0.11173184,1,7.8580335332e-01,-6.6914542751e-01
1.64804469,0.11173184,1,7.8178068794e-01,-6.6794636592e-01
1.67597765,0.11173184,1,7.7782965041e-01,-6.6674460317e-01
1.70391061,0.11173184,1,7.7394794901e-01,-6.6554087314e-01
1.73184358,0.11173184,1,7.7013339839e-01,-6.6433585328e-01
1.75977654,0.11173184,1,7.6638391309e-01,-6.6313016912e-01
1.78770950,0.11173184,1,7.6269750160e-01,-6.6192439823e-01
1.81564246,0.11173184,1,7.5907226081e-01,-6.6071907398e-01
1.84357542,0.11173184,1,7.5550637090e-01,-6.5951468887e-01
1.87150838,0.11173184,1,7.5199809059e-01,-6.5831169763e-01
1.89944134,0.11173184,1,7.4854575268e-01,-6.5711052008e-01
1.92737430,0.11173184,1,7.4514775994e-01,-6.5591154366e-01
